+----------+-------------------------------------------------------------------------------------------------+-------------+-----------------------------------------------------------+------------------+
|   bookid | title                                                                                           |   num_pages | authors                                                   |   wishlist_count |
|----------+-------------------------------------------------------------------------------------------------+-------------+-----------------------------------------------------------+------------------|
|      823 | Quicksilver (The Baroque Cycle  #1)                                                             |         927 | Neal Stephenson                                           |                4 |
|      154 | CliffsNotes on Tolstoy's Anna Karenina                                                          |          80 | Leo Tolstoy, Marianne Sturman                             |                3 |
|     1097 | Fast Food Nation: The Dark Side of the All-American Meal                                        |         399 | Eric Schlosser                                            |                3 |
|       25 | I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away               |         304 | Bill Bryson                                               |                3 |
|      385 | On Bullshit                                                                                     |          67 | Harry G. Frankfurt                                        |                3 |
|      576 | 1000 Record Covers                                                                              |         575 | Michael Ochs, Patrick Javault, Ulrike Wasel               |                2 |
|       22 | Bill Bryson's African Diary                                                                     |          55 | Bill Bryson                                               |                2 |
|      477 | Collapse of Complex Societies                                                                   |         262 | Joseph A. Tainter                                         |                2 |
|      980 | Deception Point                                                                                 |         448 | Dan Brown                                                 |                2 |
|      975 | Deception Point                                                                                 |         736 | Dan Brown                                                 |                2 |
|      140 | eBay Business All-in-One Desk Reference for Dummies                                             |         864 | Marsha Collier                                            |                2 |
|      868 | Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3)                                           |         192 | Akira Watanabe, Hiromu Arakawa                            |                2 |
|      245 | Henry Miller on Writing                                                                         |         217 | Henry Miller, Thomas H. Moore                             |                2 |
|       30 | J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings                           |        1728 | J.R.R. Tolkien                                            |                2 |
|      702 | Modern Latin America                                                                            |         528 | Peter H. Smith, Thomas E. Skidmore                        |                2 |
|      493 | My Inventions                                                                                   |          88 | Nikola Tesla                                              |                2 |
|       27 | Neither Here nor There: Travels in Europe                                                       |         254 | Bill Bryson                                               |                2 |
|      880 | Pompeii                                                                                         |         274 | Robert Harris                                             |                2 |
|      291 | The Broken Wings                                                                                |         132 | Anthony Rizcallah Ferris, Kahlil Gibran, جبران خليل جبران |                2 |
|      822 | The Confusion (The Baroque Cycle  #2)                                                           |         815 | Neal Stephenson                                           |                2 |
|       36 | The Lord of the Rings: Weapons and Warfare                                                      |         218 | Chris Smith, Christopher Lee, Richard Taylor              |                2 |
|       96 | There's Always Enough: The Miraculous Move of God in Mozambique                                 |         192 | Heidi Baker, Rolland Baker                                |                2 |
|      354 | To Sail Beyond the Sunset                                                                       |         434 | Robert A. Heinlein                                        |                2 |
|      160 | Tolstoy: Anna Karenina                                                                          |         128 | Anthony Thorlby                                           |                2 |
|      534 | We Were Not Like Other People                                                                   |         216 | Antonina W. Bouis, Ephraim Sevela                         |                2 |
|      422 | A Book of Common Prayer                                                                         |         272 | Joan Didion                                               |                1 |
|      205 | A Long Shadow (Inspector Ian Rutledge  #8)                                                      |         352 | Charles Todd                                              |                1 |
|      177 | A Wrinkle in Time: A Guide for Using "A Wrinkle in Time" in the Classroom                       |          48 | John Carratello, Patty Carratello, Theresa Wright         |                1 |
|      181 | A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1)                         |         250 | Madeleine L'Engle                                         |                1 |
|       89 | Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening |         138 | Heidi Hayes Jacobs                                        |                1 |
|      409 | Against the Day                                                                                 |        1085 | Thomas Pynchon                                            |                1 |
|       91 | Always Enough: God's Miraculous Provision Among the Poorest Children on Earth                   |         192 | Heidi Baker, Rolland Baker                                |                1 |
|      965 | Ángeles y demonios (Robert Langdon  #1)                                                         |         508 | Dan Brown                                                 |                1 |
|      155 | Anna Karenina                                                                                   |         803 | Amy Mandelker, Constance Garnett, Leo Tolstoy             |                1 |
|      157 | Anna Karenina                                                                                   |         803 | Amy Mandelker, Constance Garnett, Leo Tolstoy             |                1 |
|       78 | Annals of the Former World                                                                      |         720 | John McPhee                                               |                1 |
|       72 | Artesia: Adventures in the Known World                                                          |         352 | Mark Smylie                                               |                1 |
|      662 | Atlas Shrugged                                                                                  |        1168 | Ayn Rand, Leonard Peikoff                                 |                1 |
|      511 | Boys of Summer                                                                                  |         249 | Julie Elizabeth Leto, Kimberly Raye, Leslie Kelly         |                1 |
|       23 | Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right                  |         256 | Bill Bryson                                               |                1 |
|       58 | Changeling (Changeling  #1)                                                                     |         256 | Delia Sherman                                             |                1 |
|      105 | Chapterhouse: Dune (Dune Chronicles #6)                                                         |         436 | Frank Herbert                                             |                1 |
