+----------+--------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------+
|   bookid | title                                                                                                        | authors                                                                                                                     |
|----------+--------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------|
|        4 | Harry Potter and the Chamber of Secrets (Harry Potter  #2)                                                   | J.K. Rowling                                                                                                                |
|       12 | The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5) | Douglas Adams                                                                                                               |
|       16 | The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1)                                  | Douglas Adams, Stephen Fry                                                                                                  |
|       21 | A Short History of Nearly Everything                                                                         | Bill Bryson                                                                                                                 |
|       23 | Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right                               | Bill Bryson                                                                                                                 |
|       27 | Neither Here nor There: Travels in Europe                                                                    | Bill Bryson                                                                                                                 |
|       28 | Notes from a Small Island                                                                                    | Bill Bryson                                                                                                                 |
|       30 | J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings                                        | J.R.R. Tolkien                                                                                                              |
|       34 | The Fellowship of the Ring (The Lord of the Rings  #1)                                                       | J.R.R. Tolkien                                                                                                              |
|       45 | Agile Web Development with Rails: A Pragmatic Guide                                                          | Dave Thomas, David Heinemeier Hansson, Leon Breedt, Mike Clark, Thomas Fuchs, Andreas Schwarz                               |
|       53 | Guts: The True Stories behind Hatchet and the Brian Books                                                    | Gary Paulsen                                                                                                                |
|       57 | A Changeling for All Seasons (Changeling Seasons #1)                                                         | Angela Knight, Sahara Kelly, Judy Mays, Marteeka Karland, Kate Douglas, Shelby Morgen, Lacey Savage, Kate Hill, Willa Okati |
|       66 | The Changeling (Daughters of England  #15)                                                                   | Philippa Carr                                                                                                               |
|       71 | Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives                              | Satyajit Das                                                                                                                |
|       77 | The Control of Nature                                                                                        | John McPhee                                                                                                                 |
|       79 | Coming Into the Country                                                                                      | John McPhee                                                                                                                 |
|       80 | La Place de la Concorde Suisse                                                                               | John McPhee                                                                                                                 |
|       83 | Rising from the Plains                                                                                       | John McPhee                                                                                                                 |
|       86 | The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic                                          | Wendy Wasserstein                                                                                                           |
|       89 | Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening              | Heidi Hayes Jacobs                                                                                                          |
|       92 | Mapping the Big Picture: Integrating Curriculum & Assessment K-12                                            | Heidi Hayes Jacobs                                                                                                          |
|       96 | There's Always Enough: The Miraculous Move of God in Mozambique                                              | Heidi Baker, Rolland Baker                                                                                                  |
|       99 | The Player's Handbook: The Ultimate Guide on Dating and Relationships                                        | Heidi Fleiss, Libby Keatinge                                                                                                |
|      129 | The Power of One: One Person  One Rule  One Month                                                            | John C. Maxwell, Stephen R. Graves, Thomas G. Addington                                                                     |
|      132 | How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days                   | Adam Ginsberg                                                                                                               |
|      135 | What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond       | Chris Malta, Lisa Suttora                                                                                                   |
|      141 | Ruby Cookbook                                                                                                | Lucas Carlson, Leonard Richardson                                                                                           |
|      147 | Rails Cookbook: Recipes for Rapid Web Development with Ruby                                                  | Rob Orsini                                                                                                                  |
|      151 | Anna Karenina                                                                                                | Leo Tolstoy, Richard Pevear, Larissa Volokhonsky                                                                            |
|      155 | Anna Karenina                                                                                                | Leo Tolstoy, Amy Mandelker, Constance Garnett                                                                               |
|      157 | Anna Karenina                                                                                                | Leo Tolstoy, Amy Mandelker, Constance Garnett                                                                               |
|      160 | Tolstoy: Anna Karenina                                                                                       | Anthony Thorlby                                                                                                             |
|      230 | The Burnt Orange Heresy (Vintage Crime/Black Lizard)                                                         | Charles Willeford                                                                                                           |
|      313 | 100 Years of Lynchings                                                                                       | Ralph Ginzburg                                                                                                              |
|      409 | Against the Day                                                                                              | Thomas Pynchon                                                                                                              |
|      414 | Vineland                                                                                                     | Thomas Pynchon                                                                                                              |
|      481 | The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom                        | Philip K. Howard                                                                                                            |
|      642 | Guidebook to Zen and the Art of Motorcycle Maintenance                                                       | Ronald L. DiSanto, Thomas J. Steele                                                                                         |
|      827 | The Diamond Age: Or  A Young Lady's Illustrated Primer                                                       | Neal Stephenson, Pedro Jorge Romero                                                                                         |
|      980 | Deception Point                                                                                              | Dan Brown                                                                                                                   |
|     1059 | Shibumi                                                                                                      | Trevanian, Gisela Stege                                                                                                     |
+----------+--------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------+
